HandA,HandA_no,HandB,HandB_no,HandA_Wins,Ties,HandB_Wins
QQo,28,65s,113,0.7713725566864014,0.0037898255977779627,0.22483760118484497
QQo,28,64s,114,0.7876895666122437,0.003885797457769513,0.2084246277809143
QQo,28,63s,115,0.8040065765380859,0.003979433327913284,0.19201399385929108
QQo,28,62s,116,0.8203235864639282,0.004073069430887699,0.17560335993766785
QQo,28,5Ao,117,0.699830174446106,0.003941055852919817,0.2962287664413452
QQo,28,5Ko,118,0.715819239616394,0.004003544803708792,0.28017720580101013
QQo,28,5Qo,119,0.9190797805786133,0.019749997183680534,0.06117021292448044
QQo,28,5Jo,120,0.8708814978599548,0.0037853759713470936,0.12533313035964966
QQo,28,5To,121,0.8708779811859131,0.003784791799262166,0.12533722817897797
QQo,28,59o,122,0.8551614880561829,0.0037503354251384735,0.14108818769454956
QQo,28,58o,123,0.8397265672683716,0.003716879989951849,0.15655656158924103
QQo,28,57o,124,0.8278772830963135,0.003686761949211359,0.1684359610080719
QQo,28,56o,125,0.810435950756073,0.003593070199713111,0.1859709769487381
QQo,28,55o,126,0.8019358515739441,0.0038901970256119967,0.1941739320755005
QQo,28,54s,127,0.7708666324615479,0.0043350947089493275,0.2247982770204544
QQo,28,53s,128,0.7871836423873901,0.004432624205946922,0.20838375389575958
QQo,28,52s,129,0.8035006523132324,0.004526260308921337,0.19197311997413635
QQo,28,4Ao,130,0.7037096619606018,0.004123683553189039,0.29216665029525757
QQo,28,4Ko,131,0.7196987271308899,0.004186172503978014,0.2761151194572449
QQo,28,4Qo,132,0.9233649373054504,0.019927244633436203,0.056707803159952164
QQo,28,4Jo,133,0.8751884698867798,0.003968003671616316,0.12084352970123291
QQo,28,4To,134,0.870895504951477,0.003826756961643696,0.12527774274349213
QQo,28,49o,135,0.8726168274879456,0.003896754700690508,0.12348641455173492
QQo,28,48o,136,0.8571819067001343,0.0038632992655038834,0.13895480334758759
QQo,28,47o,137,0.8453326225280762,0.0038331812247633934,0.15083420276641846
QQo,28,46o,138,0.8278912901878357,0.0037394894752651453,0.16836921870708466
QQo,28,45o,139,0.8098920583724976,0.0042264689691364765,0.18588146567344666
QQo,28,44o,140,0.8061416745185852,0.004259523935616016,0.18959881365299225
QQo,28,43s,141,0.7911669611930847,0.0045850505121052265,0.20424799621105194
QQo,28,42s,142,0.807483971118927,0.004684526473283768,0.18783152103424072
QQo,28,3Ao,143,0.7075891494750977,0.004334344062954187,0.2880765199661255
QQo,28,3Ko,144,0.7235782146453857,0.004396832548081875,0.2720249593257904
QQo,28,3Qo,145,0.9276500940322876,0.020129019394516945,0.052220866084098816
QQo,28,3Jo,146,0.8794954419136047,0.004178663715720177,0.11632589250802994
QQo,28,3To,147,0.875202476978302,0.004037417471408844,0.12076009809970856
QQo,28,39o,148,0.8726343512535095,0.00396675243973732,0.12339890003204346
QQo,28,38o,149,0.874637246131897,0.004037750884890556,0.12132500112056732
QQo,28,37o,150,0.8627879619598389,0.004007632844150066,0.1332044005393982
QQo,28,36o,151,0.8453466296195984,0.003913941327482462,0.1507394164800644
QQo,28,35o,152,0.8273473978042603,0.0044009205885231495,0.1682516634464264
QQo,28,34o,153,0.8316543698310852,0.004583548754453659,0.16376206278800964
QQo,28,33o,154,0.8103474378585815,0.0046877190470695496,0.18496482074260712
QQo,28,32s,155,0.8114672899246216,0.004859144799411297,0.18367357552051544
QQo,28,2Ao,156,0.7114686369895935,0.004582714289426804,0.2839486598968506
QQo,28,2Ko,157,0.7274577021598816,0.004645203240215778,0.2678970992565155
QQo,28,2Qo,158,0.9319352507591248,0.020363790914416313,0.04770093411207199
QQo,28,2Jo,159,0.8838024139404297,0.00442703440785408,0.11177054047584534
QQo,28,2To,160,0.879509449005127,0.00428578769788146,0.11620474606752396
QQo,28,29o,161,0.8769413232803345,0.004215122666209936,0.11884354799985886
QQo,28,28o,162,0.8746547698974609,0.004145458806306124,0.12119977176189423
QQo,28,27o,163,0.8802433013916016,0.004219794645905495,0.1155368909239769
QQo,28,26o,164,0.8628019690513611,0.00412610312923789,0.1330719143152237
QQo,28,25o,165,0.844802737236023,0.004613082855939865,0.1505841612815857
QQo,28,24o,166,0.8491097092628479,0.004795710556209087,0.14609454572200775
QQo,28,23o,167,0.8534167408943176,0.005006370600312948,0.14157691597938538
QQo,28,22o,168,0.8145532608032227,0.0051951054483652115,0.18025164306163788
QJs,29,QTs,30,0.6610070466995239,0.07393897324800491,0.26505398750305176
QJs,29,Q9s,31,0.6637951135635376,0.07188618183135986,0.26431870460510254
QJs,29,Q8s,32,0.6642068028450012,0.0724509209394455,0.2633422613143921
QJs,29,Q7s,33,0.6674848794937134,0.07324808835983276,0.25926703214645386
QJs,29,Q6s,34,0.6647762060165405,0.0736125111579895,0.2616112530231476
QJs,29,Q5s,35,0.661594569683075,0.07450896501541138,0.26389649510383606
QJs,29,Q4s,36,0.6654314994812012,0.07519575953483582,0.259372740983963
QJs,29,Q3s,37,0.6692684292793274,0.07594037055969238,0.2547912001609802
QJs,29,Q2s,38,0.6731053590774536,0.07674279808998108,0.2501518428325653
QJs,29,JAo,39,0.3051337003707886,0.014372642152011395,0.6804936528205872
QJs,29,JKo,40,0.28998297452926636,0.024277815595269203,0.6857392191886902
QJs,29,JQo,41,0.07157432287931442,0.9066929817199707,0.02173270657658577
QJs,29,JJo,42,0.3623895049095154,0.015007848851382732,0.622602641582489
QJs,29,JTs,43,0.6848935484886169,0.03622078895568848,0.2788856327533722
QJs,29,J9s,44,0.68569016456604,0.036632515490055084,0.2776773273944855
QJs,29,J8s,45,0.6890435218811035,0.037158120423555374,0.2737983465194702
QJs,29,J7s,46,0.7028459906578064,0.03788696229457855,0.25926703214645386
QJs,29,J6s,47,0.700426459312439,0.037962302565574646,0.2616112530231476
QJs,29,J5s,48,0.6975916624069214,0.03851126879453659,0.2638970613479614
QJs,29,J4s,49,0.7018333077430725,0.03879334405064583,0.25937333703041077
