hand,1_win,2_win,3_win,4_win,5_win,6_win,7_win,8_win,9_win,1_tie,2_tie,3_tie,4_tie,5_tie,6_tie,7_tie,8_tie,9_tie
88o,0.6872012615203857,0.4960602819919586,0.37272128462791443,0.29147303104400635,0.23695793747901917,0.19965384900569916,0.17357571423053741,0.1548810750246048,0.14112702012062073,0.004454676061868668,0.003472348442301154,0.003246377222239971,0.0032449678983539343,0.003315695794299245,0.0034025339409708977,0.0034898885060101748,0.0035668022464960814,0.0036272346042096615
87s,0.45682454109191895,0.32282763719558716,0.25314170122146606,0.20845414698123932,0.17780902981758118,0.15591302514076233,0.13964492082595825,0.12709665298461914,0.11705366522073746,0.022524518892169,0.015049432404339314,0.013148411177098751,0.012310699559748173,0.01169359777122736,0.011194600723683834,0.010806096717715263,0.010512779466807842,0.010298497043550014
86s,0.4381932020187378,0.30389055609703064,0.23585329949855804,0.19330309331417084,0.16467542946338654,0.14445306360721588,0.12949822843074799,0.117933489382267,0.10864381492137909,0.02425236441195011,0.01563361845910549,0.013410329818725586,0.012447669170796871,0.011768377386033535,0.011237929575145245,0.010833010077476501,0.010533644817769527,0.010306701995432377
85s,0.4199351966381073,0.2847425639629364,0.21831820905208588,0.17776310443878174,0.15087175369262695,0.13199710845947266,0.1180439367890358,0.10722804069519043,0.0984957218170166,0.025544464588165283,0.016036532819271088,0.01354170124977827,0.01246652565896511,0.011732127517461777,0.011181720532476902,0.010767587460577488,0.010458842851221561,0.010220929980278015
84s,0.40103328227996826,0.26611411571502686,0.20158414542675018,0.16302144527435303,0.1377883404493332,0.12017561495304108,0.10716622322797775,0.09706278890371323,0.08888344466686249,0.0259905606508255,0.015799885615706444,0.013045896776020527,0.011828385293483734,0.011014711111783981,0.010417073033750057,0.009970713406801224,0.009636220522224903,0.009375732392072678
83s,0.38287046551704407,0.24812515079975128,0.18576008081436157,0.14934730529785156,0.12587343156337738,0.10958405584096909,0.09755145758390427,0.08816604316234589,0.08052524924278259,0.025905579328536987,0.015416332520544529,0.012497037649154663,0.01121348887681961,0.010386799462139606,0.009801306761801243,0.009371107444167137,0.009051602333784103,0.008800343610346317
82s,0.3768114745616913,0.24298660457134247,0.18160338699817657,0.14618445932865143,0.12348587065935135,0.1077628955245018,0.09612982720136642,0.08704015612602234,0.07961929589509964,0.02592739462852478,0.015216040425002575,0.01215111929923296,0.010734436102211475,0.009797515347599983,0.009122636169195175,0.00862159300595522,0.00824091024696827,0.007946689613163471
7Ao,0.5716713666915894,0.3738105595111847,0.2694060504436493,0.20726294815540314,0.16631478071212769,0.13723300397396088,0.11550838500261307,0.0987483412027359,0.08554799109697342,0.016716033220291138,0.0185342188924551,0.018124936148524284,0.017384154722094536,0.016686728224158287,0.01604139804840088,0.0153981177136302,0.014735197648406029,0.014042970724403858
7Ko,0.5341818332672119,0.34192079305648804,0.2455131858587265,0.1887655109167099,0.15119576454162598,0.12434655427932739,0.10425934940576553,0.08876645565032959,0.07659262418746948,0.017700646072626114,0.017800357192754745,0.01660545915365219,0.01561703346669674,0.014902816154062748,0.014330576173961163,0.013800645247101784,0.013271508738398552,0.012732023373246193
7Qo,0.4990628659725189,0.3134218454360962,0.2238684594631195,0.17134098708629608,0.1364673227071762,0.1115809977054596,0.09306015074253082,0.07889116555452347,0.067827507853508,0.01860974170267582,0.017132895067334175,0.015455652959644794,0.014445115812122822,0.013838489539921284,0.013400828465819359,0.013014747761189938,0.012636634521186352,0.012251385487616062
7Jo,0.4772719442844391,0.302651584148407,0.2190525084733963,0.16904959082603455,0.13537949323654175,0.11128173768520355,0.09340288490056992,0.07977063208818436,0.06914258003234863,0.019559316337108612,0.01663498766720295,0.014811095781624317,0.013918492011725903,0.01341482438147068,0.01304666418582201,0.01271545235067606,0.012395081110298634,0.012082204222679138
7To,0.4582863748073578,0.29604101181030273,0.21772898733615875,0.16971762478351593,0.13708120584487915,0.11374703794717789,0.09652121365070343,0.08342412114143372,0.0732426792383194,0.020783480256795883,0.01637554168701172,0.014574006199836731,0.01388122234493494,0.013510411605238914,0.013223656453192234,0.012957793660461903,0.01271485909819603,0.012481284327805042
79o,0.44068893790245056,0.2907050549983978,0.21646322309970856,0.16997309029102325,0.13835345208644867,0.1159372553229332,0.09954100847244263,0.0871686190366745,0.0775536373257637,0.02225583977997303,0.015901371836662292,0.013886990956962109,0.013038081116974354,0.012457393109798431,0.011972617357969284,0.011563596315681934,0.011223840527236462,0.010949702933430672
78o,0.42694091796875,0.28835931420326233,0.2169521301984787,0.17140443623065948,0.1404436081647873,0.11862350255250931,0.10272051393985748,0.09073268622159958,0.08140150457620621,0.023574845865368843,0.015617775730788708,0.01364304218441248,0.012799162417650223,0.012177413329482079,0.011670088395476341,0.011270680464804173,0.010967111214995384,0.010742428712546825
77o,0.6572752594947815,0.46111857891082764,0.3405618667602539,0.2644746005535126,0.2152760624885559,0.18260429799556732,0.16026464104652405,0.14447267353534698,0.13288234174251556,0.005099586211144924,0.0036224836949259043,0.003266784828156233,0.0032272618263959885,0.0032814329024404287,0.003366322023794055,0.0034541022032499313,0.003533304203301668,0.00359980552457273
76s,0.4283274710178375,0.3038005232810974,0.23746033012866974,0.19553594291210175,0.16743603348731995,0.14765197038650513,0.13300436735153198,0.1216307207942009,0.11242295801639557,0.02541969157755375,0.015352150425314903,0.013228707015514374,0.01224538404494524,0.011526086367666721,0.010983210057020187,0.010599292814731598,0.010334998369216919,0.010157589800655842
75s,0.4098365306854248,0.2855236530303955,0.2212108075618744,0.18161100149154663,0.15549522638320923,0.1372283697128296,0.1236942708492279,0.11313479393720627,0.1045205295085907,0.02695746161043644,0.015710318461060524,0.013313614763319492,0.012227569706737995,0.011461097747087479,0.01090796198695898,0.01052738819271326,0.010267447680234909,0.010092471726238728
74s,0.3910975754261017,0.26716768741607666,0.20477592945098877,0.1671823412179947,0.14271105825901031,0.12569916248321533,0.11310123652219772,0.1032453179359436,0.09518122673034668,0.027404330670833588,0.015434863045811653,0.012764738872647285,0.011520331725478172,0.010664029978215694,0.010055141523480415,0.00963553600013256,0.00934451911598444,0.009142306633293629
73s,0.37306323647499084,0.2490425407886505,0.18864262104034424,0.15306468307971954,0.13018426299095154,0.11433828622102737,0.10257574915885925,0.09334416687488556,0.08575118333101273,0.027317702770233154,0.01500194426625967,0.012113005854189396,0.010753038339316845,0.009839380159974098,0.009203130379319191,0.008771275170147419,0.008468152955174446,0.008257657289505005
72s,0.35438650846481323,0.231119766831398,0.17311705648899078,0.13977354764938354,0.11862051486968994,0.10402902960777283,0.09316251426935196,0.0845736712217331,0.07746820151805878,0.027160612866282463,0.014578328467905521,0.011538654565811157,0.010124675929546356,0.00921186525374651,0.008603223599493504,0.00820097140967846,0.007922067306935787,0.007724621333181858
6Ao,0.5587339997291565,0.3595602810382843,0.2565799951553345,0.19632598757743835,0.1571396440267563,0.1295798420906067,0.1091519296169281,0.09347065538167953,0.08115199208259583,0.018119052052497864,0.01955815777182579,0.018807122483849525,0.01790671981871128,0.01715845987200737,0.016504593193531036,0.0158634502440691,0.015193567611277103,0.014488710090517998
