HandA,HandA_no,HandB,HandB_no,Hand1_Wins,Ties,Hand2_Wins
TJo,55,3Jo,146,0.670886576176,0.111712314188,0.217401102185
TJo,55,3To,147,0.7298874259,0.0551600530744,0.214952543378
TJo,55,39o,148,0.696302175522,0.012107225135,0.291590601206
TJo,55,38o,149,0.69189876318,0.0119889630005,0.296112298965
TJo,55,37o,150,0.674897253513,0.0118905575946,0.313212186098
TJo,55,36o,151,0.663598418236,0.0118820900097,0.324519485235
TJo,55,35o,152,0.647075235844,0.0121492734179,0.340775489807
TJo,55,34o,153,0.647522866726,0.0121929282323,0.340284198523
TJo,55,33o,154,0.503576040268,0.0116799185053,0.484744042158
TJo,55,32s,155,0.626998066902,0.012119489722,0.360882461071
TJo,55,2Ao,156,0.452468425035,0.00488552264869,0.542646050453
TJo,55,2Ko,157,0.456135720015,0.0072910534218,0.53657323122
TJo,55,2Qo,158,0.454195916653,0.0098530985415,0.535950958729
TJo,55,2Jo,159,0.675263941288,0.112772032619,0.211964055896
TJo,55,2To,160,0.734832406044,0.0556521117687,0.209515497088
TJo,55,29o,161,0.700260579586,0.0123492963612,0.287390112877
TJo,55,28o,162,0.692415595055,0.0120902890339,0.295494109392
TJo,55,27o,163,0.688951969147,0.0120964208618,0.298951596022
TJo,55,26o,164,0.677653193474,0.0120879532769,0.310258865356
TJo,55,25o,165,0.661129951477,0.0123551366851,0.326514899731
TJo,55,24o,166,0.661577641964,0.0123987914994,0.326023578644
TJo,55,23o,167,0.665536046028,0.0126078659669,0.321856111288
TJo,55,22o,168,0.508516788483,0.014321138151,0.477162092924
TTo,56,T9s,57,0.809578180313,0.027039591223,0.163382202387
TTo,56,T8s,58,0.822119772434,0.0280727017671,0.14980751276
TTo,56,T7s,59,0.834819078445,0.0289481300861,0.136232823133
TTo,56,T6s,60,0.847597181797,0.0297447182238,0.122658126056
TTo,56,T5s,61,0.859858393669,0.0310587380081,0.109082847834
TTo,56,T4s,62,0.859865427017,0.0310587380081,0.109075844288
TTo,56,T3s,63,0.863810420036,0.0311685316265,0.105021074414
TTo,56,T2s,64,0.867755353451,0.0312783233821,0.10096629709
TTo,56,9Ao,65,0.719845950603,0.00347818736918,0.276675850153
TTo,56,9Ko,66,0.718708217144,0.00367900286801,0.277612745762
TTo,56,9Qo,67,0.713708519936,0.00380164477974,0.282489806414
TTo,56,9Jo,68,0.708708822727,0.00398735934868,0.287303775549
TTo,56,9To,69,0.856317877769,0.028031822294,0.115650318563
TTo,56,99o,70,0.816198766232,0.00485871685669,0.178942531347
TTo,56,98s,71,0.812846124172,0.00454708980396,0.182606786489
TTo,56,97s,72,0.813759326935,0.00448265438899,0.181758031249
TTo,56,96s,73,0.815082848072,0.00441821850836,0.18049891293
TTo,56,95s,74,0.818418323994,0.00487413443625,0.176707521081
TTo,56,94s,75,0.834309995174,0.00487413443625,0.160815879703
TTo,56,93s,76,0.834316968918,0.00487413443625,0.160808861256
TTo,56,92s,77,0.838300347328,0.00498412270099,0.156715556979
TTo,56,8Ao,78,0.715874195099,0.00333827571012,0.280787497759
TTo,56,8Ko,79,0.722890019417,0.00359131814912,0.273518681526
TTo,56,8Qo,80,0.717890322208,0.00371396006085,0.278395742178
TTo,56,8Jo,81,0.712890625,0.00389967462979,0.283209711313
TTo,56,8To,82,0.869770228863,0.0292929876596,0.100936807692
TTo,56,89o,83,0.854751110077,0.00439416291192,0.140854746103
TTo,56,88o,84,0.812512993813,0.00471925549209,0.182767778635
TTo,56,87s,85,0.798750519753,0.00444274675101,0.196806758642
TTo,56,86s,86,0.80007404089,0.00437870062888,0.195547252893
TTo,56,85s,87,0.803409516811,0.00483461655676,0.191755861044
TTo,56,84s,88,0.819301187992,0.00483461655676,0.175864219666
TTo,56,83s,89,0.835618197918,0.00492825265974,0.159453585744
TTo,56,82s,90,0.835625171661,0.00492825265974,0.159446567297
TTo,56,7Ao,91,0.713874220848,0.00327194901183,0.282853811979
TTo,56,7Ko,92,0.718918263912,0.00345474365167,0.277627021074
TTo,56,7Qo,93,0.722072064877,0.00362961250357,0.274298340082
TTo,56,7Jo,94,0.717072367668,0.00381532707252,0.279112309217
TTo,56,7To,95,0.883390724659,0.0303888786584,0.0862203761935
TTo,56,79o,96,0.855695366859,0.00430981535465,0.139994829893
TTo,56,78o,97,0.839691996574,0.00427635991946,0.156031623483
TTo,56,77o,98,0.808827161789,0.00458680232987,0.186586022377
TTo,56,76s,99,0.785585165024,0.00434190826491,0.210072904825
TTo,56,75s,100,0.788920640945,0.0047989920713,0.206280350685
TTo,56,74s,101,0.804292321205,0.0047989920713,0.190908655524
TTo,56,73s,102,0.820609331131,0.00489262817428,0.174498021603
TTo,56,72s,103,0.836926341057,0.00498626427725,0.158087387681
TTo,56,6Ao,104,0.716304659843,0.00335295940749,0.280342400074
TTo,56,6Ko,105,0.717486679554,0.00339509127662,0.27911823988
TTo,56,6Qo,106,0.718668699265,0.00349971232936,0.277831584215
TTo,56,6Jo,107,0.721254348755,0.0037376540713,0.275007992983
TTo,56,6To,108,0.897095680237,0.0314065143466,0.0714978203177
TTo,56,69o,109,0.857067346573,0.00423214258626,0.138700500131
TTo,56,68o,110,0.841064035892,0.00419868715107,0.15473729372
TTo,56,67o,111,0.825628817081,0.00416856864467,0.170202583075
TTo,56,66o,112,0.805709481239,0.00446836557239,0.189822137356
TTo,56,65s,113,0.777737677097,0.00476881815121,0.217493504286
TTo,56,64s,114,0.789803504944,0.00477115437388,0.205425366759
TTo,56,63s,115,0.80612051487,0.00486479047686,0.189014717937
TTo,56,62s,116,0.822437465191,0.00495842657983,0.172604084015
TTo,56,5Ao,117,0.702655792236,0.00376927386969,0.29357495904
TTo,56,5Ko,118,0.718644857407,0.00391585985199,0.277439296246
TTo,56,5Qo,119,0.719826877117,0.00402048090473,0.276152640581
TTo,56,5Jo,120,0.721008896828,0.00418817484751,0.274802923203
TTo,56,5To,121,0.910247564316,0.0329999811947,0.0567524805665
TTo,56,59o,122,0.860512256622,0.00473489006981,0.134752854705
TTo,56,58o,123,0.844508945942,0.00470143463463,0.150789648294
TTo,56,57o,124,0.829073727131,0.00467131659389,0.166254937649
TTo,56,56o,125,0.817213952541,0.00464787287638,0.178138181567
TTo,56,55o,126,0.805756211281,0.00494328094646,0.189300492406
TTo,56,54s,127,0.774124205112,0.00516341347247,0.22071236372
TTo,56,53s,128,0.790441215038,0.00526094296947,0.204297840595
TTo,56,52s,129,0.806758224964,0.00535457860678,0.187887191772
TTo,56,4Ao,130,0.70266276598,0.00381098873913,0.293526232243
TTo,56,4Ko,131,0.71865183115,0.00395757518709,0.277390569448
TTo,56,4Qo,132,0.719833850861,0.00406219577417,0.276103913784
TTo,56,4Jo,133,0.721015930176,0.00422988971695,0.274754196405
TTo,56,4To,134,0.910254538059,0.0330364815891,0.0567089729011
TTo,56,49o,135,0.877602279186,0.00477660493925,0.117621138692
TTo,56,48o,136,0.861598908901,0.00474314996973,0.133657932281
TTo,56,47o,137,0.845595598221,0.00471303146333,0.14969137311
TTo,56,46o,138,0.830160677433,0.00468958774582,0.165149748325
TTo,56,45o,139,0.813453495502,0.00510590244085,0.181440576911
TTo,56,44o,140,0.805943131447,0.00503088254482,0.189026013017
TTo,56,43s,141,0.790448248386,0.00530376983806,0.204247996211
TTo,56,42s,142,0.806765258312,0.0054032462649,0.187831521034
TTo,56,3Ao,143,0.706542253494,0.0040216492489,0.289436101913
